CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2,Passivo Total,1059854.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2,Passivo Total,1177037.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01,Passivo Circulante,154327.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01,Passivo Circulante,85423.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.01,Obrigações Sociais e Trabalhistas,7439.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.01,Obrigações Sociais e Trabalhistas,7373.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.01.01,Obrigações Sociais,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.01.01,Obrigações Sociais,0.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2014-12-31,2.01.01.02,Obrigações Trabalhistas,7439.0000000000,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2015-12-31,2.01.01.02,Obrigações Trabalhistas,7373.0000000000,S
