CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.01,Receita de Venda de Bens e/ou Serviços,486839000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.01,Receita de Venda de Bens e/ou Serviços,253071000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.02,Custo dos Bens e/ou Serviços Vendidos,-468078000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.02,Custo dos Bens e/ou Serviços Vendidos,-294457000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.03,Resultado Bruto,18761000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.03,Resultado Bruto,-41386000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.04,Despesas/Receitas Operacionais,-1086636000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.04,Despesas/Receitas Operacionais,125600000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.04.01,Despesas com Vendas,0.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.04.01,Despesas com Vendas,0.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.04.02,Despesas Gerais e Administrativas,-143634000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.04.02,Despesas Gerais e Administrativas,-84354000.0,S
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.04.02.01,Despesas com Geologia e Geofísica,-4977000.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.04.02.01,Despesas com Geologia e Geofísica,-1450000.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.04.02.02,Despesas com Pessoal,-38633000.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2015-01-01,2015-12-31,3.04.02.02,Despesas com Pessoal,-27872000.0,N
10.629.105/0001-68,2015-12-31,1,PRIO S.A.,22187,DF Consolidado - Demonstração do Resultado,REAL,MIL,PENÚLTIMO,2014-01-01,2014-12-31,3.04.02.03,Despesas Gerais e Administrativas,-30857000.0,N
